files_modified,files_renamed,files_deleted,cpu_usage,memory_usage,entropy_mean,entropy_max,extension_changes,write_frequency,read_write_ratio,suspicious_processes,network_out_bytes,network_connections,registry_modifications,shadow_copy_deleted,process_injection,honeypot_touched,unique_extensions,label,family
291,102,16,87.35856340498358,88.82528378991177,7.980211034923807,7.943061880549943,6,22.527960753974277,0.13020606534263163,8,114244.26183812825,29,34,0,0,1,10,1,LockBit
1,1,3,16.52349774422417,46.880558086606634,2.0337045332556283,3.972371004939773,0,0.3520961167609076,1.8524458053940283,1,4120.969593608113,1,0,0,0,0,5,0,Benign
6,1,1,8.09863963357002,49.554286076401496,1.2644257523739157,1.0981317813179805,1,0.5973962619596063,3.998268134171524,0,4661.087819805209,0,3,0,0,0,1,0,Benign
5,1,2,26.93928277943961,47.966178428920095,1.359809800627683,4.4968194609529375,0,2.68364243192522,2.0546473762041186,1,1996.6143802907789,1,3,0,0,0,2,0,Benign
6,1,0,38.95517140703609,53.99099883527261,1.6956766371363075,1.4935016753953885,0,0.1750921118520541,4.456759248733852,1,4702.229005785042,1,0,0,0,0,3,0,Benign
244,290,15,96.36719002704626,64.22106081811405,7.931923449110212,7.9475332020656335,51,33.90006292659157,0.19202722703718872,7,236053.63796302702,12,38,1,0,1,3,1,LockBit
5,0,2,23.767934551907846,23.665617932685983,1.7104224836348152,3.437158502229735,1,3.9407142567362854,1.4726686776889466,0,2816.069783185712,5,3,0,0,0,2,0,Benign
199,125,11,87.5348021818335,67.36363830984335,7.769239629151728,7.8307309633318605,58,21.377013125342174,0.3912079805590474,4,157238.02887754905,18,17,1,1,1,5,1,WannaCry
277,240,12,93.81331728811142,77.24208248327798,7.835677058728983,7.967954554100302,50,35.49315056953456,0.43512315614009145,5,283516.60404850636,14,10,1,1,1,13,1,LockBit
6,0,2,36.343556950005585,21.599249249184417,3.820801322625913,1.229395435609042,0,0.8834785204258209,4.57079171121539,1,3192.771754843214,4,2,0,0,0,5,0,Benign
3,0,0,3.858189080649928,51.07699304628261,1.4699185255824698,1.494705565255808,0,2.55669025375065,2.468163983380572,1,1685.2799496655691,3,1,0,0,0,4,0,Benign
87,15,19,83.76504785513924,44.668346379466726,7.078586505231907,7.763474111460194,18,47.04645182543664,0.33735336769660473,7,181964.7704733164,19,37,1,1,1,9,1,Cerber
200,77,6,81.70644316100083,62.11739943993784,7.706258272675125,7.907175234479903,73,53.26833400920577,0.03427881010046207,2,59620.83206443576,24,50,1,1,0,11,1,WannaCry
177,71,2,97.88119393005617,79.93699487810437,7.753737887517037,7.821822990620473,7,40.94222911119846,0.15443078215636472,4,179746.14325939317,11,33,0,1,1,1,1,WannaCry
7,0,0,20.290276796133398,57.663819538936494,1.9351914286294103,1.2053907978728964,1,2.4638158443069753,0.53336101466282,0,1063.0149202804896,3,3,0,0,0,2,0,Benign
209,298,3,82.1857379942422,74.43188752694067,7.952181371390757,7.9392328961668746,33,23.938013948314897,0.17696655579770199,7,339952.3199843474,13,49,0,1,1,4,1,LockBit
0,1,0,7.229784299244052,24.954010582770564,2.6453193011444243,4.0426735529006415,0,2.751128164956554,4.541589303730269,1,969.2331171608043,2,1,0,0,0,5,0,Benign
30,27,18,65.87922624999133,54.11948695313285,7.741792894401634,7.200197355845195,37,42.932018706757766,0.40143700296181356,7,296121.03301801864,24,39,1,1,1,3,1,Polymorphic
107,69,1,63.75420987186225,47.38754920968847,7.262379844880139,7.3591428936722165,57,21.224084504469307,0.4047736164094787,5,362471.32756155654,11,9,0,1,1,4,1,Ryuk
11,19,4,44.79331242258064,50.47720879426073,7.06770570028125,6.62031901651324,35,31.921298637213848,0.3747348109780007,8,344947.8001474686,27,37,1,0,1,11,1,SlowBurn
79,26,17,65.54978431533036,47.3236395551082,7.987417972955484,7.620359546399766,80,20.161286108182683,0.4421573214972011,5,1579.0495293649954,19,46,0,1,1,10,1,Polymorphic
0,2,2,34.91643551742788,33.97231143685029,4.309406015836221,5.416069226892203,1,3.8702731279277587,2.4544389749073745,0,503.8079728169359,5,1,0,0,0,4,0,Benign
5,1,2,41.583014943303986,52.540633323506114,2.8685823999554554,2.5329776119207925,0,0.8675757649562312,0.872238204713599,1,2190.6574240069326,5,0,0,0,0,4,0,Benign
56,19,8,40.43618308203377,48.36144362596304,7.924902813416749,7.408291354019489,74,14.93936840638876,0.08821056361367227,5,139461.00358593155,9,34,1,0,0,1,1,Polymorphic
5,1,0,37.1787207439992,36.681229386330884,0.5968893536725481,3.3468752734946694,1,3.194707465241442,3.5978532227692543,0,169.370749415933,5,1,0,0,0,4,0,Benign
40,58,11,72.76057242798831,82.89816458139374,7.519469014547109,7.758909781182898,25,55.36229757200112,0.0643009634227709,2,167767.5194922868,3,45,0,0,1,14,1,Polymorphic
4,2,2,44.638704347789364,41.1029754641054,1.051199088175963,3.0888813999022626,0,3.368271059950038,3.2544454355695116,0,2035.5535773594224,5,1,0,0,0,1,0,Benign
17,2,2,41.20814973542569,61.761087094300954,6.693188941572887,7.6981867847275485,5,25.357994474220654,0.4027843622437942,8,165505.01700886394,24,36,0,0,1,15,1,SlowBurn
150,119,10,79.21196796109828,83.63692677048775,7.379279764335764,7.338215287268446,12,58.303581107909544,0.0860638087363607,6,345472.49714214663,29,21,1,1,1,9,1,Ryuk
9,4,20,87.33475323912907,88.55018178443129,5.577288201908069,6.977950420429764,27,32.396797130139596,0.23241705737726678,5,51373.95663824736,21,22,1,0,1,11,1,Fileless
6,2,3,29.090306824200496,53.69536193925835,3.3484357314143023,3.7157535805377253,0,1.4618944777598832,2.790159508978978,0,4696.615697226649,2,2,0,0,0,3,0,Benign
1,1,3,24.336468960254923,12.445591263924351,2.4848235198000324,2.703353695584639,1,0.9544235511363448,0.6463394416947279,0,3076.181267840975,1,2,0,0,0,5,0,Benign
1,0,2,35.29126900115343,23.03146489374832,0.7309451186039242,3.495226402697449,1,0.9628032948520202,4.4753534611097425,1,2159.6731010121566,5,3,0,0,0,3,0,Benign
8,1,3,10.695248760735852,49.85496535336726,3.7269789738890085,5.033020482002586,1,0.5504257880737238,1.2732729244370935,1,3480.078721568516,4,2,0,0,0,2,0,Benign
19,17,14,51.72728321034892,61.09191929156836,6.900227384494489,6.678903424790766,15,49.592657561047815,0.1386798049332853,4,175904.51505006454,10,15,1,1,0,2,1,SlowBurn
8,1,1,42.59949763074346,45.95821908894447,2.48120661475844,3.9121420569854912,0,0.8454549858145954,3.1612785988933876,0,4405.392662156089,3,2,0,0,0,1,0,Benign
85,166,14,91.15784956461991,42.38093441044977,7.967807376319627,7.684959346724871,70,38.8708620413192,0.276897525096395,8,485749.3100779395,10,40,1,1,1,9,1,WannaCry
6,2,2,3.6019168664104324,58.030040500626065,2.231788484781609,3.9265352616899505,1,2.0360641932147083,1.7149407239004837,1,4708.515673531675,5,2,0,0,0,5,0,Benign
6,2,3,20.984789961434355,47.65431972206647,1.7091996164893835,1.9401430496278957,0,2.5018938136664257,3.910088591295171,0,3280.131597589521,3,2,0,0,0,2,0,Benign
129,99,4,88.57389698184409,76.19127440971099,7.506071911392716,7.319091769888272,22,36.595546340078975,0.38873655979000826,4,452803.69088796707,24,44,1,0,1,13,1,Ryuk
156,125,9,84.70725060073575,92.90227559810485,7.855346257073448,7.687878099367947,45,38.29996872356033,0.3533757780144952,3,51765.41683319509,2,19,1,0,1,3,1,WannaCry
1,2,1,6.686999564107972,36.821519839474604,1.3765798729303214,1.0270035175329189,1,2.8803959825027508,1.6911975377609794,1,3868.0870822667857,3,1,0,0,0,4,0,Benign
12,9,0,59.28909882951558,79.96813222922906,7.33134770785333,7.650274040580888,12,28.053767551482984,0.12220508174527198,4,445519.8465640905,3,11,1,0,0,9,1,SlowBurn
7,1,1,26.30742527802123,18.85582843391865,2.6048347068960642,4.9186236371934715,0,1.9587222055250866,4.215518871544171,0,815.116397506016,3,2,0,0,0,5,0,Benign
31,50,14,40.74237216380101,53.32040071800961,7.374684698922647,7.209590439070596,38,21.576772490266407,0.03547677901871886,4,136340.9048991185,26,40,1,1,1,7,1,Polymorphic
8,0,0,28.621003096658146,45.816551362834765,2.182041432306129,2.2609129021251397,0,2.5753827045448934,2.2194652882100794,1,1562.1567233419037,0,0,0,0,0,3,0,Benign
